DATE,RAIN,SNOW,SUN,TEMP,WIND
2021-04-28,0.0,0.0,0.3,9.2,2.7
2021-04-29,0.1,0.0,0.0,12.2,2.7
2021-04-30,7.6,0.0,3.3,12.4,3.3
2021-05-01,25.1,0.0,0.0,11.7,2.3
2021-05-02,1.7,0.0,0.3,13.4,2.3
2021-05-03,0.0,0.0,0.0,11.3,3.7
2021-05-04,0.0,0.0,3.4,12.7,1.3
2021-05-05,0.0,0.0,1.9,14.9,1.3
2021-05-06,4.4,0.0,1.2,16.4,2.3
2021-05-07,0.6,0.0,1.7,18.5,3.3
2021-05-08,0.0,0.0,4.2,19.1,2.0
2021-05-09,0.0,0.0,6.1,20.0,1.3
2021-05-10,0.0,0.0,0.0,14.3,2.7
2021-05-11,0.0,0.0,0.0,13.0,1.0
2021-05-12,23.7,0.0,6.8,12.7,3.7
2021-05-13,18.9,0.0,6.3,10.1,5.0
2021-05-14,5.0,0.0,5.7,15.6,3.0
2021-05-15,2.3,0.0,13.6,18.9,4.0
2021-05-16,0.0,0.0,10.6,19.9,5.0
2021-05-17,1.0,0.0,7.8,19.4,4.3
2021-05-18,0.0,0.0,6.3,16.1,4.0
2021-05-19,0.0,0.0,13.0,17.3,3.3
2021-05-20,0.2,0.0,9.3,15.2,4.0
2021-05-21,0.1,0.0,9.4,14.9,2.7
2021-05-22,0.0,0.0,1.0,10.6,4.7
